CPUID:,0x870F10
Processor:,AMD Ryzen 5 3600 6-Core (Matisse) 
Platform:,Socket AM4 (1331 pin)
Revision:,MTS-B0
Lithography:,7nm

Session start:,11:57:11 - May 18 - 2022

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
12:02:56 05/18/22,46,46,46,46,46,46,,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,2,3193.25,17.4,
12:03:01 05/18/22,51,51,51,51,51,51,,,46,75,1,2669.36,,46,75,2,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,,46,75,1,2669.36,18.3,
12:03:06 05/18/22,47,47,47,47,47,47,,,46,75,2,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,17.8,
12:03:11 05/18/22,47,47,47,47,47,47,,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,18.2,
12:03:16 05/18/22,53,53,53,53,53,53,,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,18.6,
12:03:21 05/18/22,47,47,47,47,47,47,,,46,75,1,3018.62,,46,75,1,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,1,3018.62,17.7,
12:03:26 05/18/22,47,47,47,47,47,47,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,17.8,
12:03:31 05/18/22,61,61,61,61,61,61,,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,0,3018.62,,46,75,2,3018.62,17.7,
12:03:36 05/18/22,53,53,53,53,53,53,,,46,75,0,2320.10,,46,75,0,2320.10,,46,75,0,2320.10,,46,75,0,2320.10,,46,75,1,2320.10,,46,75,0,2320.10,18.2,
12:03:41 05/18/22,68,68,68,68,68,68,,,46,75,0,2843.99,,46,75,0,2843.99,,46,75,1,2843.99,,46,75,0,2843.99,,46,75,0,2843.99,,46,75,1,2843.99,17.8,
12:03:46 05/18/22,60,60,60,60,60,60,,,46,75,2,3367.89,,46,75,1,3367.89,,46,75,0,3367.89,,46,75,1,3367.89,,46,75,1,3367.89,,46,75,1,3367.89,17.6,
12:03:51 05/18/22,52,52,52,52,52,52,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,17.4,
12:03:56 05/18/22,47,47,47,47,47,47,,,46,75,0,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,,46,75,0,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,18.6,
12:04:01 05/18/22,56,56,56,56,56,56,,,46,75,2,3018.62,,46,75,3,3018.62,,46,75,2,3018.62,,46,75,1,3018.62,,46,75,2,3018.62,,46,75,2,3018.62,18.4,
12:04:06 05/18/22,48,48,48,48,48,48,,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,17.8,
12:04:11 05/18/22,62,62,62,62,62,62,,,46,75,1,3193.25,,46,75,1,3193.25,,46,75,0,3193.25,,46,75,0,3193.25,,46,75,1,3193.25,,46,75,1,3193.25,18.2,
12:04:16 05/18/22,54,54,54,54,54,54,,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,0,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,,46,75,1,2669.36,18.5,
12:04:21 05/18/22,48,48,48,48,48,48,,,46,75,0,2320.10,,46,75,1,2320.10,,46,75,0,2320.10,,46,75,0,2320.10,,46,75,0,2320.10,,46,75,1,2320.10,18.3,
12:04:26 05/18/22,47,47,47,47,47,47,,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,2,2195.36,17.7,
12:04:31 05/18/22,52,52,52,52,52,52,,,46,75,1,2494.73,,46,75,1,2494.73,,46,75,1,2494.73,,46,75,1,2494.73,,46,75,1,2494.73,,46,75,2,2494.73,17.6,
12:04:36 05/18/22,55,55,55,55,55,55,,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,18.0,
12:04:41 05/18/22,62,62,62,62,62,62,,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,3,4191.15,20.9,
12:04:46 05/18/22,54,54,54,54,54,54,,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,2,2195.36,17.8,
12:04:51 05/18/22,47,47,47,47,47,47,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,17.9,
12:04:56 05/18/22,55,55,55,55,55,55,,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,3,2195.36,17.9,
12:05:01 05/18/22,47,47,47,47,47,47,,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,,46,75,0,4191.15,18.2,
12:05:06 05/18/22,50,50,50,50,50,50,,,46,75,1,2195.36,,46,75,1,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,0,2195.36,,46,75,1,2195.36,17.9,
